iter	Passed	Remaining
0	145	145605
1	147	73765
2	151	50331
3	155	38818
4	159	31641
5	161	26756
6	163	23222
7	165	20571
8	167	18494
9	169	16793
10	171	15385
11	172	14215
12	173	13208
13	174	12323
14	175	11544
15	176	10862
16	177	10258
17	178	9717
18	178	9232
19	179	8798
20	180	8400
21	180	8039
22	182	7741
23	183	7442
24	183	7160
25	184	6898
26	184	6654
27	185	6426
28	185	6213
29	186	6014
30	186	5830
31	187	5656
32	187	5494
33	187	5339
34	188	5195
35	188	5055
36	189	4925
37	189	4800
38	189	4680
39	190	4567
40	190	4459
41	191	4356
42	191	4260
43	191	4167
44	192	4078
45	192	3993
46	192	3911
47	193	3832
48	193	3758
49	193	3685
50	194	3617
51	194	3550
52	195	3487
53	195	3425
54	195	3366
55	196	3310
56	196	3257
57	197	3205
58	197	3155
59	198	3104
60	198	3056
61	198	3008
62	199	2963
63	199	2918
64	199	2875
65	200	2833
66	200	2793
67	200	2754
68	201	2716
69	201	2680
70	202	2645
71	202	2610
72	203	2577
73	203	2545
74	203	2514
75	204	2483
76	204	2452
77	204	2422
78	205	2393
79	205	2365
80	206	2337
81	206	2310
82	206	2282
83	207	2257
84	207	2232
85	207	2208
86	208	2185
87	208	2162
88	209	2139
89	209	2116
90	209	2094
91	210	2074
92	210	2053
93	210	2033
94	211	2013
95	211	1994
96	212	1975
97	212	1957
98	213	1939
99	213	1922
100	213	1904
101	214	1886
102	214	1869
103	214	1852
104	215	1835
105	215	1819
106	216	1803
107	216	1787
108	216	1773
109	217	1758
110	217	1744
111	218	1730
112	218	1715
113	218	1701
114	219	1687
115	219	1673
116	219	1659
117	220	1646
118	220	1633
119	220	1620
120	221	1607
121	221	1595
122	222	1584
123	222	1573
124	223	1562
125	223	1550
126	223	1538
127	224	1527
128	224	1516
129	224	1505
130	225	1494
131	225	1483
132	225	1473
133	226	1462
134	226	1453
135	227	1443
136	227	1433
137	227	1423
138	228	1414
139	228	1404
140	229	1395
141	229	1385
142	229	1376
143	229	1367
144	230	1358
145	230	1349
146	231	1340
147	231	1332
148	231	1324
149	232	1317
150	232	1308
151	233	1300
152	233	1292
153	233	1284
154	234	1276
155	234	1268
156	234	1261
157	235	1253
158	235	1245
159	235	1238
160	236	1230
161	236	1223
162	237	1217
163	237	1210
164	237	1204
165	238	1197
166	238	1190
167	239	1183
168	239	1177
169	239	1170
170	240	1164
171	240	1157
172	240	1151
173	241	1145
174	241	1138
175	242	1133
176	242	1127
177	242	1121
178	243	1115
179	243	1109
180	243	1103
181	244	1097
182	244	1092
183	244	1086
184	245	1080
185	245	1074
186	245	1069
187	246	1063
188	246	1059
189	247	1054
190	247	1049
191	248	1043
192	248	1038
193	248	1033
194	249	1028
195	249	1023
196	250	1019
197	250	1014
198	250	1009
199	251	1004
200	251	999
201	251	994
202	252	990
203	252	985
204	253	981
205	253	976
206	253	972
207	254	967
208	254	962
209	254	958
210	255	953
211	255	949
212	255	945
213	256	940
214	256	936
215	257	932
216	257	928
217	257	924
218	258	920
219	258	916
220	258	912
221	259	908
222	259	904
223	259	900
224	260	896
225	260	892
226	261	888
227	261	884
228	261	881
229	262	877
230	262	873
231	262	870
232	263	866
233	263	862
234	263	859
235	264	855
236	264	852
237	265	848
238	265	845
239	265	841
240	266	838
241	266	834
242	266	831
243	267	828
244	267	824
245	268	821
246	268	818
247	268	814
248	269	811
249	269	808
250	269	805
251	270	801
252	270	798
253	270	795
254	271	792
255	271	789
256	271	786
257	272	783
258	272	780
259	273	777
260	273	774
261	273	771
262	274	768
263	274	765
264	274	762
265	275	759
266	275	756
267	275	753
268	276	751
269	276	748
270	277	745
271	277	742
272	277	740
273	278	737
274	278	734
275	278	731
276	279	729
277	279	726
278	280	724
279	280	721
280	280	718
281	281	716
282	281	713
283	281	710
284	282	708
285	282	706
286	283	703
287	283	701
288	283	698
289	284	696
290	284	693
291	285	691
292	285	688
293	285	686
294	286	684
295	286	681
296	286	679
297	287	676
298	287	674
299	288	672
300	288	670
301	288	667
302	289	665
303	289	663
304	289	660
305	290	658
306	290	656
307	291	653
308	291	651
309	291	649
310	292	647
311	292	645
312	293	643
313	293	640
314	293	638
315	294	636
316	294	634
317	294	632
318	295	630
319	295	627
320	295	625
321	296	623
322	296	621
323	296	619
324	297	617
325	297	615
326	298	613
327	298	611
328	298	609
329	299	607
330	299	605
331	299	603
332	300	601
333	300	599
334	300	597
335	301	595
336	301	593
337	301	591
338	302	589
339	302	587
340	302	585
341	303	583
342	303	581
343	304	579
344	304	577
345	304	576
346	305	574
347	305	572
348	305	570
349	306	568
350	306	566
351	306	564
